random_text_0307.png: MSE=38.1491, PSNR=16.97, SSIM=0.8547, CER=0.2079
random_text_0313.png: MSE=31.2155, PSNR=17.34, SSIM=0.8570, CER=0.1953
real_image_0076.png: MSE=47.9112, PSNR=17.64, SSIM=0.7222, CER=0.7738
real_image_0300.png: MSE=99.0902, PSNR=16.83, SSIM=0.4829, CER=0.9304
random_text_0298.png: MSE=43.2910, PSNR=17.24, SSIM=0.8376, CER=0.2859
random_text_0299.png: MSE=28.6645, PSNR=18.19, SSIM=0.8898, CER=0.3125
random_text_0312.png: MSE=36.5295, PSNR=17.52, SSIM=0.8639, CER=0.2512
random_text_0306.png: MSE=36.6954, PSNR=17.07, SSIM=0.8470, CER=0.2608
real_image_0249.png: MSE=35.5790, PSNR=19.27, SSIM=0.8099, CER=0.4709
random_text_0310.png: MSE=32.7086, PSNR=17.45, SSIM=0.8554, CER=0.3087
real_image_0505.png: MSE=78.4512, PSNR=16.71, SSIM=0.5645, CER=0.6900
random_text_0304.png: MSE=29.5684, PSNR=18.80, SSIM=0.8958, CER=0.2129
real_image_0049.png: MSE=95.2283, PSNR=12.63, SSIM=0.3635, CER=1.0000
real_image_0465.png: MSE=72.8049, PSNR=16.34, SSIM=0.5899, CER=0.8950
real_image_0128.png: MSE=38.1007, PSNR=19.29, SSIM=0.7887, CER=0.6632
random_text_0305.png: MSE=34.9907, PSNR=17.23, SSIM=0.8607, CER=0.2378
random_text_0311.png: MSE=33.3162, PSNR=17.40, SSIM=0.8613, CER=0.2805
random_text_0315.png: MSE=31.4804, PSNR=19.34, SSIM=0.9055, CER=0.0362
random_text_0301.png: MSE=31.9355, PSNR=17.66, SSIM=0.8552, CER=0.3487
real_image_0475.png: MSE=77.8534, PSNR=16.09, SSIM=0.6579, CER=0.6901
real_image_0139.png: MSE=52.7982, PSNR=18.02, SSIM=0.6979, CER=0.9205
real_image_0515.png: MSE=74.1969, PSNR=16.07, SSIM=0.6234, CER=0.6513
random_text_0300.png: MSE=33.6769, PSNR=17.17, SSIM=0.8499, CER=0.3093
random_text_0314.png: MSE=32.7639, PSNR=18.43, SSIM=0.8913, CER=0.1378
random_text_0302.png: MSE=32.9287, PSNR=18.33, SSIM=0.8822, CER=0.1944
random_text_0316.png: MSE=32.2565, PSNR=17.70, SSIM=0.8672, CER=0.2807
real_image_0259.png: MSE=41.6031, PSNR=18.24, SSIM=0.7812, CER=0.4757
real_image_0098.png: MSE=77.5474, PSNR=14.74, SSIM=0.5758, CER=0.9483
random_text_0289.png: MSE=37.1300, PSNR=17.60, SSIM=0.8611, CER=0.2298
random_text_0288.png: MSE=30.1497, PSNR=18.51, SSIM=0.8853, CER=0.2227
real_image_0310.png: MSE=76.5407, PSNR=20.07, SSIM=0.6768, CER=0.7852
real_image_0066.png: MSE=78.4705, PSNR=15.59, SSIM=0.3439, CER=0.8856
random_text_0317.png: MSE=33.3211, PSNR=17.90, SSIM=0.8685, CER=0.2172
random_text_0303.png: MSE=39.6105, PSNR=17.27, SSIM=0.8494, CER=0.3037
real_image_0149.png: MSE=80.9463, PSNR=17.26, SSIM=0.6241, CER=0.9053
real_image_0606.png: MSE=53.0666, PSNR=16.46, SSIM=0.6930, CER=0.6716
real_image_0028.png: MSE=54.5159, PSNR=13.92, SSIM=0.6928, CER=1.4554
real_image_0566.png: MSE=66.9525, PSNR=16.78, SSIM=0.6917, CER=0.5267
real_image_0189.png: MSE=43.6349, PSNR=18.56, SSIM=0.7715, CER=0.7622
real_image_0360.png: MSE=38.1559, PSNR=19.50, SSIM=0.7894, CER=0.6181
real_image_0413.png: MSE=76.1953, PSNR=22.71, SSIM=0.7090, CER=0.7945
real_image_0229.png: MSE=64.0995, PSNR=17.73, SSIM=0.6183, CER=0.9313
real_image_0239.png: MSE=60.7640, PSNR=17.51, SSIM=0.7190, CER=0.5900
real_image_0403.png: MSE=77.5426, PSNR=20.50, SSIM=0.6819, CER=0.7647
real_image_0370.png: MSE=77.4598, PSNR=15.50, SSIM=0.5902, CER=0.9388
real_image_0199.png: MSE=46.0879, PSNR=17.55, SSIM=0.7723, CER=0.2342
real_image_0576.png: MSE=82.8207, PSNR=15.22, SSIM=0.5120, CER=0.8669
real_image_0038.png: MSE=86.8543, PSNR=14.78, SSIM=0.5292, CER=0.6489
real_image_0616.png: MSE=57.3282, PSNR=17.95, SSIM=0.6783, CER=0.9408
real_image_0159.png: MSE=75.9222, PSNR=15.18, SSIM=0.5834, CER=0.7407
real_image_0008.png: MSE=50.7463, PSNR=18.04, SSIM=0.7287, CER=0.9568
real_image_0626.png: MSE=43.9986, PSNR=20.27, SSIM=0.7801, CER=0.8215
real_image_0425.png: MSE=57.7497, PSNR=16.98, SSIM=0.6760, CER=0.7781
real_image_0169.png: MSE=38.2500, PSNR=20.32, SSIM=0.7966, CER=0.7651
real_image_0586.png: MSE=41.4014, PSNR=18.57, SSIM=0.7781, CER=0.4488
real_image_0545.png: MSE=65.8741, PSNR=15.39, SSIM=0.5966, CER=0.7123
real_image_0209.png: MSE=59.9482, PSNR=15.92, SSIM=0.6755, CER=0.7814
real_image_0382.png: MSE=49.5490, PSNR=20.94, SSIM=0.7066, CER=0.7619
real_image_0340.png: MSE=46.7137, PSNR=18.08, SSIM=0.7344, CER=0.6942
real_image_0556.png: MSE=36.3324, PSNR=20.04, SSIM=0.8057, CER=0.2479
real_image_0350.png: MSE=66.4798, PSNR=15.85, SSIM=0.6048, CER=0.6514
real_image_0393.png: MSE=72.9696, PSNR=14.96, SSIM=0.5639, CER=0.4602
real_image_0219.png: MSE=58.7876, PSNR=16.47, SSIM=0.6933, CER=0.7153
real_image_0596.png: MSE=66.7517, PSNR=17.60, SSIM=0.7265, CER=0.8188
real_image_0179.png: MSE=44.8247, PSNR=17.76, SSIM=0.7762, CER=0.4889
real_image_0435.png: MSE=34.5004, PSNR=20.26, SSIM=0.8028, CER=0.8081
real_image_0018.png: MSE=52.0799, PSNR=18.58, SSIM=0.7178, CER=0.6944
real_image_0269.png: MSE=52.8970, PSNR=16.69, SSIM=0.7105, CER=0.3857
random_text_0291.png: MSE=31.4468, PSNR=17.99, SSIM=0.8774, CER=0.2674
random_text_0290.png: MSE=33.0619, PSNR=18.21, SSIM=0.8839, CER=0.1776
real_image_0485.png: MSE=69.2048, PSNR=16.86, SSIM=0.7082, CER=0.6464
real_image_0320.png: MSE=36.8347, PSNR=20.11, SSIM=0.8140, CER=0.4101
random_text_0319.png: MSE=33.7560, PSNR=17.31, SSIM=0.8680, CER=0.2843
real_image_0108.png: MSE=51.6459, PSNR=16.97, SSIM=0.6988, CER=0.7755
random_text_0286.png: MSE=37.3655, PSNR=16.71, SSIM=0.8331, CER=0.4414
random_text_0292.png: MSE=33.7759, PSNR=17.96, SSIM=0.8705, CER=0.2363
