random_text_0286.png: MSE=116.9005, PSNR=8.53, SSIM=0.4272, CER=0.8256
real_image_0008.png: MSE=107.3623, PSNR=8.82, SSIM=0.4335, CER=1.0000
random_text_0287.png: MSE=115.2817, PSNR=8.87, SSIM=0.4649, CER=0.6721
random_text_0288.png: MSE=116.8049, PSNR=8.56, SSIM=0.4634, CER=0.5224
real_image_0018.png: MSE=107.8686, PSNR=9.27, SSIM=0.4873, CER=0.9744
random_text_0289.png: MSE=116.9537, PSNR=8.55, SSIM=0.4346, CER=0.7581
random_text_0290.png: MSE=115.1047, PSNR=8.73, SSIM=0.4496, CER=0.7228
real_image_0028.png: MSE=102.2198, PSNR=7.91, SSIM=0.4207, CER=1.0000
random_text_0291.png: MSE=113.8547, PSNR=8.81, SSIM=0.4519, CER=0.6955
random_text_0292.png: MSE=115.6938, PSNR=8.52, SSIM=0.4450, CER=0.7866
real_image_0038.png: MSE=98.3674, PSNR=8.33, SSIM=0.4561, CER=0.7087
random_text_0293.png: MSE=114.7549, PSNR=9.07, SSIM=0.4761, CER=0.8686
random_text_0294.png: MSE=117.7671, PSNR=8.57, SSIM=0.4324, CER=0.7297
real_image_0049.png: MSE=101.5064, PSNR=5.96, SSIM=0.1731, CER=0.9608
random_text_0295.png: MSE=116.4963, PSNR=8.65, SSIM=0.4587, CER=0.8158
random_text_0296.png: MSE=112.8451, PSNR=9.13, SSIM=0.4648, CER=0.7477
real_image_0066.png: MSE=108.3640, PSNR=4.18, SSIM=0.1124, CER=0.9975
random_text_0297.png: MSE=115.9676, PSNR=8.43, SSIM=0.4144, CER=0.7146
random_text_0298.png: MSE=116.8336, PSNR=8.21, SSIM=0.4281, CER=0.7490
real_image_0076.png: MSE=107.9832, PSNR=8.61, SSIM=0.3613, CER=0.9548
random_text_0299.png: MSE=112.1776, PSNR=9.14, SSIM=0.4827, CER=0.8302
random_text_0300.png: MSE=116.4571, PSNR=8.73, SSIM=0.4380, CER=0.7733
real_image_0087.png: MSE=106.7313, PSNR=8.59, SSIM=0.5527, CER=0.9479
random_text_0301.png: MSE=116.7705, PSNR=8.83, SSIM=0.4523, CER=0.8477
random_text_0302.png: MSE=112.7013, PSNR=8.53, SSIM=0.4364, CER=0.6089
real_image_0098.png: MSE=108.0818, PSNR=8.78, SSIM=0.3724, CER=1.0000
random_text_0303.png: MSE=115.1507, PSNR=8.75, SSIM=0.4248, CER=0.7331
random_text_0304.png: MSE=114.8591, PSNR=8.81, SSIM=0.4542, CER=0.6611
real_image_0108.png: MSE=113.0253, PSNR=9.47, SSIM=0.4859, CER=0.9745
random_text_0305.png: MSE=114.6258, PSNR=8.28, SSIM=0.4176, CER=0.7478
random_text_0306.png: MSE=117.2956, PSNR=8.41, SSIM=0.4283, CER=0.7044
real_image_0118.png: MSE=113.6075, PSNR=10.37, SSIM=0.5277, CER=0.9571
random_text_0307.png: MSE=114.0259, PSNR=8.38, SSIM=0.4087, CER=0.7958
random_text_0308.png: MSE=116.1159, PSNR=8.86, SSIM=0.4412, CER=0.8428
real_image_0128.png: MSE=110.6027, PSNR=9.50, SSIM=0.4761, CER=0.9992
random_text_0309.png: MSE=104.9117, PSNR=9.23, SSIM=0.4620, CER=0.6519
random_text_0310.png: MSE=116.2594, PSNR=8.84, SSIM=0.4553, CER=0.9080
real_image_0139.png: MSE=112.5369, PSNR=9.35, SSIM=0.4124, CER=0.9905
random_text_0311.png: MSE=114.5089, PSNR=9.01, SSIM=0.4407, CER=0.8053
random_text_0312.png: MSE=115.7415, PSNR=8.56, SSIM=0.4250, CER=0.7182
real_image_0149.png: MSE=107.8200, PSNR=11.08, SSIM=0.5172, CER=0.9923
random_text_0313.png: MSE=113.3835, PSNR=8.56, SSIM=0.4435, CER=0.8612
random_text_0314.png: MSE=116.0835, PSNR=8.55, SSIM=0.4481, CER=0.6251
real_image_0159.png: MSE=104.0656, PSNR=10.25, SSIM=0.4971, CER=0.9740
random_text_0315.png: MSE=116.7555, PSNR=8.47, SSIM=0.4589, CER=0.4615
random_text_0316.png: MSE=116.5827, PSNR=8.61, SSIM=0.4586, CER=0.6334
real_image_0169.png: MSE=109.1868, PSNR=9.70, SSIM=0.5004, CER=0.9914
random_text_0317.png: MSE=116.9486, PSNR=8.88, SSIM=0.4537, CER=0.7975
random_text_0318.png: MSE=114.6154, PSNR=8.85, SSIM=0.4528, CER=0.7962
real_image_0179.png: MSE=110.8164, PSNR=9.23, SSIM=0.4108, CER=0.8844
random_text_0319.png: MSE=114.5290, PSNR=8.73, SSIM=0.4368, CER=0.7391
random_text_0320.png: MSE=116.8858, PSNR=8.82, SSIM=0.4661, CER=0.7037
real_image_0189.png: MSE=106.8631, PSNR=9.68, SSIM=0.4369, CER=0.9060
real_image_0199.png: MSE=104.5964, PSNR=8.77, SSIM=0.4159, CER=0.5970
real_image_0209.png: MSE=106.8724, PSNR=8.97, SSIM=0.4100, CER=0.9451
real_image_0219.png: MSE=102.0671, PSNR=9.49, SSIM=0.4484, CER=0.9990
real_image_0229.png: MSE=105.6724, PSNR=9.43, SSIM=0.3669, CER=1.0000
real_image_0239.png: MSE=116.1001, PSNR=9.65, SSIM=0.5593, CER=0.8975
real_image_0249.png: MSE=111.9293, PSNR=9.60, SSIM=0.4985, CER=0.8869
real_image_0259.png: MSE=108.4823, PSNR=9.55, SSIM=0.4539, CER=0.9147
real_image_0269.png: MSE=110.2744, PSNR=9.74, SSIM=0.4662, CER=0.8499
real_image_0279.png: MSE=98.6752, PSNR=7.34, SSIM=0.4088, CER=0.2759
real_image_0290.png: MSE=96.4337, PSNR=7.38, SSIM=0.2483, CER=0.8734
real_image_0300.png: MSE=115.2293, PSNR=4.81, SSIM=0.1283, CER=1.0000
real_image_0310.png: MSE=116.2485, PSNR=4.36, SSIM=0.1557, CER=0.9039
real_image_0320.png: MSE=105.1203, PSNR=9.49, SSIM=0.4487, CER=0.8467
real_image_0330.png: MSE=106.2750, PSNR=9.57, SSIM=0.4512, CER=1.0000
real_image_0340.png: MSE=112.0955, PSNR=8.68, SSIM=0.4329, CER=0.9997
real_image_0350.png: MSE=105.3559, PSNR=7.94, SSIM=0.3039, CER=0.9218
real_image_0360.png: MSE=105.4798, PSNR=9.32, SSIM=0.4551, CER=0.8697
real_image_0370.png: MSE=102.7122, PSNR=8.48, SSIM=0.4221, CER=0.9590
real_image_0382.png: MSE=113.8307, PSNR=4.58, SSIM=0.1758, CER=0.8922
real_image_0393.png: MSE=106.5553, PSNR=9.54, SSIM=0.3182, CER=1.0000
real_image_0403.png: MSE=117.8511, PSNR=4.43, SSIM=0.1395, CER=1.0000
real_image_0413.png: MSE=119.4637, PSNR=4.32, SSIM=0.1379, CER=0.9972
real_image_0425.png: MSE=110.0446, PSNR=9.24, SSIM=0.4180, CER=0.9965
real_image_0435.png: MSE=113.2849, PSNR=8.85, SSIM=0.4820, CER=0.9905
real_image_0445.png: MSE=102.0022, PSNR=8.32, SSIM=0.4713, CER=0.5204
real_image_0455.png: MSE=90.1711, PSNR=9.61, SSIM=0.3070, CER=0.9839
real_image_0465.png: MSE=107.0584, PSNR=8.07, SSIM=0.3084, CER=1.0000
real_image_0475.png: MSE=113.6511, PSNR=8.77, SSIM=0.4856, CER=0.9486
real_image_0485.png: MSE=112.6965, PSNR=11.30, SSIM=0.5454, CER=0.9839
real_image_0495.png: MSE=111.5724, PSNR=9.16, SSIM=0.4466, CER=0.9532
real_image_0505.png: MSE=106.6496, PSNR=7.91, SSIM=0.2799, CER=0.8777
real_image_0515.png: MSE=102.4717, PSNR=8.49, SSIM=0.3437, CER=0.8877
real_image_0626.png: MSE=108.1284, PSNR=9.59, SSIM=0.4497, CER=1.0000
real_image_0616.png: MSE=113.5077, PSNR=10.07, SSIM=0.4176, CER=1.0000
real_image_0606.png: MSE=110.8120, PSNR=9.02, SSIM=0.4244, CER=1.0000
real_image_0596.png: MSE=113.6650, PSNR=11.47, SSIM=0.5413, CER=1.0000
real_image_0586.png: MSE=112.0846, PSNR=9.31, SSIM=0.4589, CER=0.9482
real_image_0576.png: MSE=104.0083, PSNR=7.18, SSIM=0.3458, CER=0.9986
real_image_0566.png: MSE=103.7189, PSNR=9.07, SSIM=0.4298, CER=0.8507
real_image_0556.png: MSE=112.5877, PSNR=9.34, SSIM=0.4922, CER=0.9969
real_image_0545.png: MSE=113.4446, PSNR=9.60, SSIM=0.3971, CER=1.0000
real_image_0535.png: MSE=102.6786, PSNR=8.00, SSIM=0.4126, CER=0.8887
real_image_0525.png: MSE=109.6281, PSNR=8.69, SSIM=0.3520, CER=0.9329

Final Averages:
Avg MSE: 110.7379
Avg PSNR: 8.65
Avg SSIM: 0.4155
Avg CER: 0.8589
